,categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
90,Scarpini Sportivi Under Armour,UNDER ARMOUR,COURT 96 - Scarpe da allenamento - black,69.99,99.99,https://www.zalando.it/under-armour-sport-court-96-scarpe-da-allenamento-black-un242a0mk-q11.html,COURT 96,Scarpe da allenamento,black
91,Scarpini Sportivi Under Armour,UNDER ARMOUR,IGNITE SELECT - Ciabatte da mare - white,28.0,28.0,https://www.zalando.it/under-armour-ignite-select-ciabatte-da-mare-white-un242b0bo-a16.html,IGNITE SELECT,Ciabatte da mare,white
92,Scarpini Sportivi Under Armour,UNDER ARMOUR,SPAWN 7 - Scarpe da basket - black/metallic gold,87.99,109.99,https://www.zalando.it/under-armour-spawn-7-scarpe-da-basket-blackmetallic-gold-un242a0nm-q11.html,SPAWN 7,Scarpe da basket,black/metallic gold
93,Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED PURSUIT 4 - Scarpe da corsa su strada - black/white,69.99,69.99,https://www.zalando.it/under-armour-charged-pursuit-4-scarpe-da-corsa-su-strada-blackwhite-un242a0nb-q11.html,CHARGED PURSUIT 4,Scarpe da corsa su strada,black/white
94,Scarpini Sportivi Under Armour,UNDER ARMOUR,DYNAMIC 2 - Scarpe da allenamento - ether blue,100.0,100.0,https://www.zalando.it/under-armour-dynamic-scarpe-da-allenamento-ether-blue-un242a0np-k12.html,DYNAMIC 2,Scarpe da allenamento,ether blue
95,Scarpini Sportivi Under Armour,UNDER ARMOUR,MAGNETICO PRO 4 - Scarpe da calcetto con tacchetti - ares red/stream,83.99,139.99,https://www.zalando.it/under-armour-magnetico-pro-4-fg-scarpe-da-calcetto-con-tacchetti-ares-redstream-un242a0ml-g11.html,MAGNETICO PRO 4,Scarpe da calcetto con tacchetti,ares red/stream
96,Scarpini Sportivi Under Armour,UNDER ARMOUR,VELOCITI 4 - Scarpe da corsa su strada - halo gray,130.0,130.0,https://www.zalando.it/under-armour-scarpe-da-corsa-su-strada-halo-gray-un242a0o5-c12.html,VELOCITI 4,Scarpe da corsa su strada,halo gray
97,Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE ELITE 2 - Scarpe da corsa su strada - electric blue/anthracite/stream,159.99,159.99,https://www.zalando.it/under-armour-infinite-elite-2-scarpe-running-neutre-electric-blueanthracitestream-un242a0n9-k11.html,INFINITE ELITE 2,Scarpe da corsa su strada,electric blue/anthracite/stream
98,Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE ELITE 2 - Scarpe da corsa su strada - white,160.0,160.0,https://www.zalando.it/under-armour-infinite-elite-scarpe-da-corsa-su-strada-white-un242a0n9-a11.html,INFINITE ELITE 2,Scarpe da corsa su strada,white
99,Scarpini Sportivi Under Armour,UNDER ARMOUR,LOCKER V - Ciabatte da mare - academy,25.0,25.0,https://www.zalando.it/under-armour-ciabatte-da-mare-academy-un212g004-k11.html,LOCKER V,Ciabatte da mare,academy
