,Unnamed: 0,categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
7065,7205,Scarpe Sportive,41.0,uomo,PUMA,ULTRA MATCH FG/AG - Scarpe da calcetto con tacchetti - ultra blue/puma white/pro green,39.0,39.0,https://www.zalando.it/puma-ultra-match-fgag-scarpe-da-calcetto-con-tacchetti-ultra-bluepuma-whitepro-green-pu142a1hq-k11.html?size=41,ULTRA MATCH FG/AG,scarpe da calcetto con tacchetti,ultra blue/puma white/pro green
7066,7206,Scarpe Sportive,41.0,uomo,PUMA,ULTRA 5 MATCH IT - Scarpe da calcetto - fizzy apple/white/bluemazing,46.99,84.99,https://www.zalando.it/puma-ultra-5-match-it-scarpe-da-calcetto-fizzy-applewhitebluemazing-pu142a1t1-m11.html?size=41,ULTRA 5 MATCH IT,scarpe da calcetto,fizzy apple/white/bluemazing
7067,7207,Scarpe Sportive,41.0,uomo,PUMA,FUTURE 7 ULTIMATE FG/AG - Scarpe da calcetto con tacchetti - black/copper rose,179.99,179.99,https://www.zalando.it/puma-future-ultimate-fgag-scarpe-da-calcetto-con-tacchetti-blackcopper-rose-pu142a1pf-q11.html?size=41,FUTURE 7 ULTIMATE FG/AG,scarpe da calcetto con tacchetti,black/copper rose
7068,7208,Scarpe Sportive,41.0,uomo,DIADORA,TROFEO 3 - da tennis per terra battuta - white/blue corsair,87.99,109.99,https://www.zalando.it/diadora-trofeo-3-da-tennis-per-terra-battuta-whiteblue-corsair-d2942a06a-a11.html?size=41,TROFEO 3,da tennis per terra battuta,white/blue corsair
7069,7209,Scarpe Sportive,41.0,uomo,JOMA,N10 - Scarpe da calcetto con tacchetti - black,54.99,54.99,https://www.zalando.it/joma-n10-scarpe-da-calcetto-con-tacchetti-black-j3342a0lj-q11.html?size=41,N10,scarpe da calcetto con tacchetti,black
7070,7210,Scarpe Sportive,41.0,uomo,JOMA,STRIKER - Scarpe da calcetto con tacchetti - white,54.99,54.99,https://www.zalando.it/joma-scarpe-da-calcetto-con-tacchetti-white-j3342a0lm-a11.html?size=41,STRIKER,scarpe da calcetto con tacchetti,white
7071,7211,Scarpe Sportive,41.0,uomo,JOMA,SUPERCOPA - Scarpe da calcetto con tacchetti - black,54.99,54.99,https://www.zalando.it/joma-supercopa-scarpe-da-calcetto-con-tacchetti-black-j3342a0lo-q11.html?size=41,SUPERCOPA,scarpe da calcetto con tacchetti,black
7072,7212,Scarpe Sportive,41.0,uomo,PUMA,ACCELERATE TURBO - Scarpe da pallamano - sun stream/sunset glow/black,109.95,109.95,https://www.zalando.it/puma-accelerate-turbo-scarpe-da-pallamano-sun-streamsunset-glowblack-pu142a1tg-h11.html?size=41,ACCELERATE TURBO,scarpe da pallamano,sun stream/sunset glow/black
7073,7213,Scarpe Sportive,41.0,uomo,PUMA,SNEAKER - Scarpe da corsa su strada - blue crystal black,129.99,129.99,https://www.zalando.it/puma-scarpe-da-corsa-su-strada-blue-crystal-black-pu112o0oh-k13.html?size=41,SNEAKER,scarpe da corsa su strada,blue crystal black
7074,7214,Scarpe Sportive,41.0,uomo,PUMA,ULTRA 5 ULTIMATE MXSG - Scarpe da calcio con tacchetti - black/silver/bright aqua,184.99,229.99,https://www.zalando.it/puma-ultra-5-ultimate-mxsg-scarpe-da-calcio-con-tacchetti-blacksilverbright-aqua-pu142a1w9-q11.html?size=41,ULTRA 5 ULTIMATE MXSG,scarpe da calcio con tacchetti,black/silver/bright aqua
7075,7215,Scarpe Sportive,41.0,uomo,PUMA,ACCELERATE TURBO - Scarpe da pallamano - white/bluemazing,110.0,110.0,https://www.zalando.it/puma-accelerate-turbo-scarpe-da-pallamano-whitebluemazing-pu142a1tg-a11.html?size=41,ACCELERATE TURBO,scarpe da pallamano,white/bluemazing
7076,7216,Scarpe Sportive,41.0,uomo,PUMA,ULTRA 5 MATCH MXSG - Scarpe da calcio con tacchetti - lapis lazuli/white/sunset glow,71.36,84.95,https://www.zalando.it/puma-ultra-5-match-mxsg-scarpe-da-calcio-con-tacchetti-lapis-lazuliwhitesunset-glow-pu142a1tq-k11.html?size=41,ULTRA 5 MATCH MXSG,scarpe da calcio con tacchetti,lapis lazuli/white/sunset glow
7077,7217,Scarpe Sportive,41.0,uomo,PUMA,ULTRA 5 MATCH TT - Scarpe da calcetto con tacchetti - black/white,50.95,85.0,https://www.zalando.it/puma-ultra-5-match-tt-scarpe-da-calcetto-con-tacchetti-blackwhite-pu142a1tx-q11.html?size=41,ULTRA 5 MATCH TT,scarpe da calcetto con tacchetti,black/white
7078,7218,Scarpe Sportive,41.0,uomo,PUMA,KING ULTIMATE FG/AG - Scarpe da calcetto con tacchetti - white- silver,184.76,219.95,https://www.zalando.it/puma-king-ultimate-fgag-scarpe-da-calcetto-con-tacchetti-white-silver-pu142a1ul-a12.html?size=41,KING ULTIMATE FG/AG,scarpe da calcetto con tacchetti,white- silver
7079,7219,Scarpe Sportive,41.0,uomo,PUMA,PWR NITRO SQD2 - Scarpe da corsa su strada - black green moon,103.95,130.0,https://www.zalando.it/puma-nitro-2-scarpe-da-corsa-su-strada-black-green-moon-pu144a0c2-q14.html?size=41,PWR NITRO SQD2,scarpe da corsa su strada,black green moon
7080,7220,Scarpe Sportive,41.0,uomo,PUMA GOLF,PHANTOMCAT NITRO  - Scarpe da golf -  white/black/fluro green pes,219.99,219.99,https://www.zalando.it/puma-golf-scarpe-da-golf-whiteblackfluro-green-pes-pu542a03m-a11.html?size=41,PHANTOMCAT NITRO,scarpe da golf,white/black/fluro green pes
7081,7221,Scarpe Sportive,41.0,uomo,PUMA,FUTURE 8 MATCH LOW - Scarpe da calcetto con tacchetti - black/silver/fluo green,50.99,84.99,https://www.zalando.it/puma-future-8-match-low-fgag-scarpe-da-calcetto-con-tacchetti-blacksilverfluo-green-pu142a1x2-q12.html?size=41,FUTURE 8 MATCH LOW,scarpe da calcetto con tacchetti,black/silver/fluo green
7082,7222,Scarpe Sportive,41.0,uomo,MIZUNO,WAVE STEALTH 6 UNISEX - Scarpe da pallamano - neo mint/black/frontier blue,125.99,139.99,https://www.zalando.it/mizuno-sneakers-basse-neo-mintblackfrontier-blue-m2744a00u-m11.html?size=41,WAVE STEALTH 6 UNISEX,scarpe da pallamano,neo mint/black/frontier blue
7083,7223,Scarpe Sportive,41.0,uomo,PUMA,VANTAGE NITRO - Scarpe da pallamano - glowing red/white/dark crimson/ black,126.99,149.99,https://www.zalando.it/puma-vantage-nitro-scarpe-da-pallamano-glowing-redwhitedark-crimson-black-pu142a1x9-g11.html?size=41,VANTAGE NITRO,scarpe da pallamano,glowing red/white/dark crimson/ black
7084,7224,Scarpe Sportive,41.0,uomo,JOMA,TOPFLEX - Scarpe da calcetto - white,74.99,74.99,https://www.zalando.it/joma-topflex-scarpe-da-calcetto-white-j3342a0lf-a11.html?size=41,TOPFLEX,scarpe da calcetto,white
7085,7225,Scarpe Sportive,41.0,uomo,UNDER ARMOUR,MAGNETICO SELECT 4 FG - Scarpe da calcetto con tacchetti - silica green/high vis yellow,79.99,79.99,https://www.zalando.it/under-armour-magnetico-select-4-fg-scarpe-da-calcetto-con-tacchetti-silica-greenhigh-vis-yellow-un242a0mr-m11.html?size=41,MAGNETICO SELECT 4 FG,scarpe da calcetto con tacchetti,silica green/high vis yellow
