,categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
674,Scarpe Sportive,47.0,Uomo,MIZUNO,WAVE RIDER 28 - Scarpe da corsa su strada - black/white/evening primrose,159.99,159.99,https://www.zalando.it/mizuno-wave-rider-28-scarpe-da-corsa-su-strada-blackwhiteevening-primrose-m2742a0ja-q12.html?size=47,WAVE RIDER 28,scarpe da corsa su strada,black/white/evening primrose
675,Scarpe Sportive,47.0,Uomo,PUMA,POUNCE LITE - Scarpe da corsa su strada - black white,38.95,55.0,https://www.zalando.it/puma-scarpe-running-neutre-black-white-pu144a0ci-q11.html?size=47,POUNCE LITE,scarpe da corsa su strada,black white
676,Scarpe Sportive,47.0,Uomo,ASICS,GEL-QUANTUM 180 6 - Scarpe da corsa su strada - black/aizuri blue,152.0,190.0,https://www.zalando.it/asics-gel-quantum-180-scarpe-running-neutre-blackaizuri-blue-as142a0s0-q11.html?size=47,GEL quantum 180 6,Scarpe da corsa su strada,black/aizuri blue
677,Scarpe Sportive,47.0,Uomo,ASICS,GEL-CONTEND 9 - Scarpe da corsa su strada - black/wave teal,69.99,69.99,https://www.zalando.it/asics-gel-contend-9-scarpe-da-corsa-su-strada-blackwave-teal-as142a162-q13.html?size=47,GEL contend 9,Scarpe da corsa su strada,black/wave teal
678,Scarpe Sportive,47.0,Uomo,PUMA,SOFTRIDE ONE4ALL  - Scarpe da corsa su strada - black white white,41.95,70.0,https://www.zalando.it/puma-softride-one4all-scarpe-da-corsa-su-strada-black-white-white-pu142a1nn-q12.html?size=47,SOFTRIDE ONE4ALL,scarpe da corsa su strada,black white white
679,Scarpe Sportive,47.0,Uomo,ASICS,GAME CLAY - da tennis per terra battuta - white/black,89.99,89.99,https://www.zalando.it/asics-game-ff-clay-da-tennis-per-terra-battuta-whiteblack-as142a17h-a12.html?size=47,GAME CLAY,da tennis per terra battuta,white/black
680,Scarpe Sportive,47.0,Uomo,PUMA,FUTURE 8 MATCH - Scarpe da calcetto con tacchetti - black/silver/fluo green,56.99,94.99,https://www.zalando.it/puma-future-8-match-mg-scarpe-da-calcetto-con-tacchetti-blacksilverfluo-green-pu142a1x1-q11.html?size=47,FUTURE 8 MATCH,scarpe da calcetto con tacchetti,black/silver/fluo green
681,Scarpe Sportive,47.0,Uomo,ASICS,BLADE - Scarpe da pallamano - white/nova orange,107.99,119.99,https://www.zalando.it/asics-blade-scarpe-da-pallamano-whitenova-orange-as142a10o-a14.html?size=47,BLADE,scarpe da pallamano,white/nova orange
682,Scarpe Sportive,47.0,Uomo,ASICS,GT-2000 13 - Scarpe da corsa su strada - black,159.95,159.95,https://www.zalando.it/asics-gt-2000-13-scarpe-da-corsa-stabili-black-as142a16c-q13.html?size=47,GT 2000 13,Scarpe da corsa su strada,black
683,Scarpe Sportive,47.0,Uomo,PUMA,FUTURE 8 ULTIMATE - Scarpe da calcetto con tacchetti - black cool light gray fluo green,179.95,229.95,https://www.zalando.it/puma-future-8-ultimate-fg-scarpe-da-calcetto-con-tacchetti-black-cool-light-gray-fluo-green-pu142a1w1-q12.html?size=47,FUTURE 8 ULTIMATE,scarpe da calcetto con tacchetti,black cool light gray fluo green
684,Scarpe Sportive,47.0,Uomo,PUMA,PWR NITRO SQD2 - Scarpe da corsa su strada - black pure magenta,103.95,130.0,https://www.zalando.it/puma-nitro-2-scarpe-da-corsa-su-strada-black-pure-magenta-pu144a0c2-q13.html?size=47,PWR NITRO SQD2,scarpe da corsa su strada,black pure magenta
685,Scarpe Sportive,47.0,Uomo,PUMA,FUTURE 8 MATCH LOW - Scarpe da calcetto con tacchetti - black/white/glowing red,50.99,84.99,https://www.zalando.it/puma-future-8-match-low-scarpe-da-calcetto-con-tacchetti-blackwhiteglowing-red-pu142a1x2-q11.html?size=47,FUTURE 8 MATCH LOW,scarpe da calcetto con tacchetti,black/white/glowing red
686,Scarpe Sportive,47.0,Uomo,PUMA,SOFTRIDE ENZO 5  - Scarpe da allenamento - black/cool dark gray,44.95,75.0,https://www.zalando.it/puma-softride-enzo-5-unisex-scarpe-da-allenamento-blackcool-dark-gray-pu144a0cn-q11.html?size=47,SOFTRIDE ENZO 5,scarpe da allenamento,black/cool dark gray
687,Scarpe Sportive,47.0,Uomo,PUMA,SOFTRIDE CARSON - Scarpe da corsa su strada - velvet moss loden green yellow alert,31.95,55.0,https://www.zalando.it/puma-softride-carson-scarpe-da-corsa-su-strada-velvet-moss-loden-green-yellow-alert-pu141a126-o11.html?size=47,SOFTRIDE CARSON,scarpe da corsa su strada,velvet moss loden green yellow alert
688,Scarpe Sportive,47.0,Uomo,MIZUNO,WAVE STEALTH NEO 2 - Scarpe da pallamano - white/bellwether blue/bel air blue,152.99,169.99,https://www.zalando.it/mizuno-wave-stealth-neo-2-scarpe-da-pallamano-whitebellwether-bluebel-air-blue-m2742a0if-a12.html?size=47,WAVE STEALTH NEO 2,scarpe da pallamano,white/bellwether blue/bel air blue
689,Scarpe Sportive,47.0,Uomo,ASICS,GEL-CUMULUS 27 - Scarpe da corsa su strada - lite show mojave,159.99,159.99,https://www.zalando.it/asics-gel-cumulus-27-scarpe-da-corsa-su-strada-lite-show-mojave-as142a182-h11.html?size=47,GEL cumulus 27,Scarpe da corsa su strada,lite show mojave
